object,id,ra,dec,i_mag,g_mag,bp_rp,excess_noise,i_mag1
OGLE-BLG-0002,4091117427954753792,276.1749863212323,-21.103471197992075,18.379837,19.48304,1.8984985,1.8162568,18.40082376401411
OGLE-BLG-0002,4091117462314460544,276.17706952820606,-21.103806608408107,17.901106,18.886967,1.6136494,0.50290126,17.91972868916725
OGLE-BLG-0002,4091117462314460288,276.1769260277321,-21.10272752201968,17.829573,18.84342,1.6781693,0.7474124,17.84876944566023
OGLE-BLG-0002,4091117427894107648,276.1742298082584,-21.103885656093045,17.720123,18.73164,1.67272,0.53912216,17.7392736606279
OGLE-BLG-0002,4091117466554670080,276.1755155260046,-21.102186399827445,17.816566,18.794157,1.5949402,0.0,17.835017541426186
OGLE-BLG-0002,4091117427926648832,276.1749800352295,-21.10531380588355,15.647536,16.428764,1.1893005,0.084045,15.661796259323408
OGLE-BLG-0002,4091117427954720256,276.1738131654052,-21.104682947860177,17.939259,18.923672,1.610363,0.9471884,17.95785142689727
OGLE-BLG-0002,4091117466614134912,276.1778251779486,-21.10206709270949,13.948282,15.335654,2.8960848,0.21105626,13.973980240306265
OGLE-BLG-0002,4091117432194903936,276.1754745510107,-21.106454770091844,16.636608,17.77404,1.9898605,2.3958707,16.658256255649118
OGLE-BLG-0002,4091117427954712448,276.1777924622056,-21.10640835939825,17.353294,18.31225,1.5533447,0.93587404,17.37135801646841
OGLE-BLG-0002,4091117462314496256,276.1775482897037,-21.10075644347411,18.431715,19.361279,1.4892387,0.9418513,18.449162199296186
OGLE-BLG-0002,4091117427954817792,276.17521110323725,-21.10710270687509,16.170073,17.362514,2.1470108,0.84020746,16.192752596676748
OGLE-BLG-0002,4091117496613593088,276.17227272671715,-21.10259471972528,15.722191,16.892757,2.0828295,1.7634954,15.744465787057825
OGLE-BLG-0002,4091117462262737024,276.1792972538969,-21.105058701041987,16.713581,17.802008,1.8603649,1.0684286,16.734278103404552
OGLE-BLG-0002,4091117432194941824,276.17202567211496,-21.103987330472588,16.958988,17.949905,1.6251678,0.2338931,16.977714128300285
OGLE-BLG-0002,4091117432254394368,276.1669701291421,-21.112967770285312,15.16125202178955,16.316638946533203,2.0396385192871094,0.0,15.18324279569233
OGLE-BLG-0002,4091117432194905856,276.16828483127205,-21.112854040996368,16.914875030517578,17.911998748779297,1.639387130737305,0.8104457855224609,16.933729245221265
OGLE-BLG-0002,4091117427953371392,276.1662009615512,-21.11235683562739,17.15421485900879,18.16512489318848,1.671304702758789,0.5729097723960876,17.173352747937177
OGLE-BLG-0002,4091117427954549376,276.16599589657346,-21.111370519596075,16.963424682617188,18.003173828125,1.7396469116210938,0.0,16.983149611723046
OGLE-BLG-0002,4091117427919147264,276.16924559252783,-21.11091490607528,17.811491012573242,18.88679885864257,1.8271160125732424,0.9259244203567504,17.831928258967285
OGLE-BLG-0002,4091117427953372416,276.1696799203812,-21.112629216994225,17.046581268310547,18.017332077026367,1.5795860290527344,0.0,17.064889514824472
OGLE-BLG-0002,4091117432196567552,276.1655839999551,-21.11346761037553,15.470382690429688,16.65547752380371,2.125185966491699,0.2666033804416656,15.492928021683726
OGLE-BLG-0002,4091117427894087680,276.1650463974373,-21.11075950977533,16.128803253173828,17.077653884887695,1.5311050415039062,0.2533782422542572,16.14665491643626
OGLE-BLG-0002,4091117432254382208,276.1689700823051,-21.11428674498081,17.730361938476562,18.78019523620605,1.764078140258789,2.4644997119903564,17.750289656924522
OGLE-BLG-0002,4091117427954575872,276.1642700368181,-21.11220462399827,18.34783363342285,19.498477935791016,2.026355743408203,0.0,18.369734795701078
OGLE-BLG-0002,4091117432254411008,276.1663466156366,-21.10923028719145,18.24858665466309,19.29914283752441,1.7658405303955078,0.9183236360549928,18.268528894549007
OGLE-BLG-0002,4091117427954580608,276.17038913870607,-21.1103980817469,18.216079711914062,19.301977157592773,1.853910446166992,1.3504087924957275,18.23672692107471
OGLE-BLG-0002,4091117500973891200,276.1649696975266,-21.10980610698428,17.611305236816406,18.62247467041016,1.6719131469726562,0.265519917011261,17.630447030496082
OGLE-BLG-0002,4091117324874243200,276.16412667505307,-21.11322622512317,18.40651512145996,19.414283752441406,1.663991928100586,0.4919441938400268,18.42558792754724
OGLE-BLG-0002,4091117496646122880,276.1647492116328,-21.109863346357084,17.68700408935547,18.63597869873047,1.5313758850097656,1.4882556200027466,17.70485867610728
OGLE-BLG-0002,4091117432254411520,276.16681322528075,-21.108702318492448,17.811094284057617,19.01046371459961,2.167856216430664,0.344784528017044,17.833899719019225
OGLE-BLG-0002,4091117427926646656,276.171303196115,-21.11237483243792,17.54953956604004,18.438241958618164,1.4029216766357422,0.758195161819458,17.566120671537995
OGLE-BLG-0002,4091117427954577920,276.1679777222749,-21.10847502744762,17.86184310913086,18.93087387084961,1.8114013671875,0.0,17.882155152408927
OGLE-BLG-0002,4091117427954579328,276.16902732433346,-21.10866712863724,18.18289566040039,19.31983184814453,1.988504409790039,0.0,18.204534592579932
OGLE-BLG-0002,4091117427894066944,276.1683558716742,-21.11564411462832,16.933609008789062,17.86895751953125,1.5017147064208984,0.3128877878189087,16.95117859213618
OGLE-BLG-0002,4091117496674026624,276.1668810020306,-21.09578850494685,17.02800178527832,18.177265167236328,2.0225048065185547,0.378095269203186,17.049877380714356
OGLE-BLG-0002,4091117496674053760,276.1659765241075,-21.094795679634,17.522022247314453,18.76645851135254,2.3103790283203125,0.3478602170944214,17.54562676456282
OGLE-BLG-0002,4091117496638602496,276.1659010187056,-21.09612698782996,17.87706756591797,19.06494331359864,2.1334171295166016,0.6652061939239502,17.89966309074874
OGLE-BLG-0002,4091117531033793280,276.16825592009457,-21.093892507259053,18.01353645324707,19.02248191833496,1.666727066040039,1.2565877437591553,18.032634276381145
OGLE-BLG-0002,4091117535333666560,276.1690115089441,-21.096314942112443,15.86231517791748,16.705699920654297,1.3106393814086914,0.2962372899055481,15.877925530477038
OGLE-BLG-0002,4091117531005872256,276.1693730447913,-21.094795319392645,17.083940505981445,18.106830596923828,1.6994304656982422,0.5371818542480469,17.103322569377063
OGLE-BLG-0002,4091117531033793152,276.16779646931025,-21.09346427811508,17.638078689575195,18.70306968688965,1.8013534545898438,1.036902666091919,17.65830939971546
OGLE-BLG-0002,4091117500973948160,276.1651280180651,-21.095415428271803,16.339500427246094,17.509624481201172,2.081552505493164,0.1082360744476318,16.361768504214048
OGLE-BLG-0002,4091117496674054272,276.1665860859347,-21.09758996032435,18.168109893798828,19.27997398376465,1.92120361328125,1.0540282726287842,18.189265479375386
OGLE-BLG-0002,4091117500973930240,276.1672065119862,-21.097893341359125,14.73428726196289,15.918395042419434,2.12227725982666,0.0712790638208389,14.75681363587941
OGLE-BLG-0002,4091117496674053376,276.16514774953373,-21.093741276667306,17.956613540649414,19.015249252319336,1.7856426239013672,1.0684738159179688,17.976717310424966
